x,y,z
3.939353,1.7182,-1.333333
4.349635,0.519316,-1.333333
3.992535,-1.811806,-1.333333
2.844599,3.284146,-1.333333
-3.480271,-2.738945,-1.333333
-2.972184,-3.161403,-1.333333
-2.430045,-3.573591,-1.333333
-0.974381,2.723954,-1.333333
1.666247,2.068087,-1.333333
0.238196,-1.620746,-1.333333
1.186739,-2.045128,-1.333333
1.334156,-3.067278,-1.333333
-2.817553,2.246865,-1.333333
-3.116756,2.008358,-1.333333
2.038821,-2.507123,-1.333333
4.452677,-0.112754,-1.333333
-3.600551,1.698581,-1.333333
-3.843571,0.620264,-1.333333
3.446317,-1.121137,-1.333333
-3.430756,0.642686,-1.333333
-2.267967,1.241369,-1.333333
-3.664962,-0.517915,-1.333333
3.937617,-0.328405,-1.333333
3.769315,0.942775,-1.333333
-1.845832,-3.90531,-1.333333
-1.858972,-1.056061,-1.333333
-1.635289,-3.343555,-1.333333
